,Title,Link,Views,Posted,Clean_Views
0,dancing with the boiz | STEEZY.CO #Shorts,https://www.youtube.com/watch?v=9P4lQ0J6MZM,30K views,2 days ago,30000
1,Body - Megan Thee Stallion | Jonathan Sison Choreography | STEEZY.CO,https://www.youtube.com/watch?v=OsXsz_9oPNU,10K views,3 days ago,10000
2,Beginner vs Advanced Dancer – 2 Levels of Dancers Take The Same Class | STEEZY.CO,https://www.youtube.com/watch?v=sLGGIqsf98c,30K views,1 week ago,30000
3,How to behave in a dance class | STEEZY.CO #Shorts,https://www.youtube.com/watch?v=p79XhmG-Kj8,15K views,1 week ago,15000
4,Brinn Nicole making dancer sounds | STEEZY.CO #Shorts,https://www.youtube.com/watch?v=ZcszW6URIl4,12K views,1 week ago,12000
5,If Brian Puspos danced to IceJJFish | STEEZY.CO #Shorts,https://www.youtube.com/watch?v=lfAT3xuLEJ0,11K views,1 week ago,11000
6,Dancer Talk with Nicole Kirkland | STEEZY #Shorts,https://www.youtube.com/watch?v=ivzPBXMEXgw,11K views,1 week ago,11000
7,Can you name these dance moves? | STEEZY #Shorts,https://www.youtube.com/watch?v=0z9TGLMVee4,8K views,2 weeks ago,8000
8,Ultimate Guide To Learning Dance For Beginners | STEEZY.CO,https://www.youtube.com/watch?v=C62596gVnT8,27K views,2 weeks ago,27000
9,What’s That Dance Move? | STEEZY.CO #Shorts,https://www.youtube.com/watch?v=fi9rbSSFHIc,8.8K views,2 weeks ago,8800
10,Unexpected Michael Jackson 🕺 | STEEZY.CO #Shorts,https://www.youtube.com/watch?v=3az1i97_4Ng,22K views,2 weeks ago,22000
11,We switched his music to Taylor Swift | STEEZY.CO #Shorts,https://www.youtube.com/watch?v=wY4ReF_7Bu0,20K views,2 weeks ago,20000
12,Building Our Second Dance Studio | STEEZY.CO #Shorts,https://www.youtube.com/watch?v=sLb9rsUHoE8,10K views,2 weeks ago,10000
13,There Are Two Types Of Dancers | STEEZY.CO #Shorts,https://www.youtube.com/watch?v=pLt0SKGHGKY,21K views,2 weeks ago,21000
14,When you only know 1 dance move... | STEEZY.CO #Shorts,https://www.youtube.com/watch?v=EsBeSnBiHMQ,25K views,2 weeks ago,25000
15,Dancers Are The Athletes of God | STEEZY.CO #Shorts,https://www.youtube.com/watch?v=_o-kRdi7VWg,21K views,3 weeks ago,21000
16,5 Dance Myths That Are FALSE | STEEZY.CO,https://www.youtube.com/watch?v=32b29gKjaiA,44K views,3 weeks ago,44000
17,When you actually know how to dance at the club | STEEZY.CO #Shorts,https://www.youtube.com/watch?v=hqdVcjZ8r7Q,17K views,3 weeks ago,17000
18,#PermissiontoDance (Krump Version) | STEEZY.CO #Shorts,https://www.youtube.com/watch?v=s0PVnBeNXdU,21K views,3 weeks ago,21000
19,Asking Our Beginner Dance Coworker To Name These Moves | STEEZY.CO #Shorts,https://www.youtube.com/watch?v=utMj_thJaKk,14K views,3 weeks ago,14000
20,Who’s That Dancer? | STEEZY.CO #Shorts,https://www.youtube.com/watch?v=DbuN421zDdw,11K views,3 weeks ago,11000
21,3 Easy Dance Moves (To Do At The CLUB or a WEDDING) | STEEZY.CO,https://www.youtube.com/watch?v=CiJZ9Q5JCFo,44K views,3 weeks ago,44000
22,Dancers avoiding copyright infringement like... 😬 (ft. Brian Puspos) | STEEZY.CO #Shorts,https://www.youtube.com/watch?v=ZTzviYeBpcg,22K views,3 weeks ago,22000
23,Our Favorite Dance Shoes | STEEZY.CO #Shorts,https://www.youtube.com/watch?v=9pf_C4_r8ss,20K views,4 weeks ago,20000
24,Dancers React to BTS J-Hope (Part 2) & ‘Permission To Dance’ | STEEZY.CO,https://www.youtube.com/watch?v=SLiKwXtkEhI,214K views,4 weeks ago,214000
25,Sorah Yang - Dancer Expectations vs. Reality | STEEZY.CO #Shorts,https://www.youtube.com/watch?v=_X-8ZFFM0pg,21K views,4 weeks ago,21000
26,Ways To Practice Dance At Home | STEEZY.CO #Shorts,https://www.youtube.com/watch?v=QX1TRwRFvrU,22K views,4 weeks ago,22000
27,Up - Cardi B | Bailey Sok & Sienna Lalau Choreography | STEEZY.CO,https://www.youtube.com/watch?v=0iRLFB-awlI,189K views,4 weeks ago,189000
28,YAS & taylor from earth – FOOL AROUND (Behind The Scenes) | STEEZY.CO,https://www.youtube.com/watch?v=7tsCXQKmNO0,5.6K views,4 weeks ago,5600
29,The Cosby Walk - A Brief History | Viral Dance Moves | STEEZY.CO #Shorts,https://www.youtube.com/watch?v=8OKY-XGRPXQ,12K views,1 month ago,12000
30,Jun Quemado - Dancer Expectations vs. Reality | STEEZY.CO #Shorts,https://www.youtube.com/watch?v=7PuN1BWiAyk,23K views,1 month ago,23000
31,Learn How To Body Roll in 4 Minutes | STEEZY.CO,https://www.youtube.com/watch?v=CSD0dhibOzY,19K views,1 month ago,19000
